City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
451,Yarmouth,US,41.7057,-70.2286,85.23,78,90,8.01,mist,2021-06-21 16:49:10
452,Ust-Nera,RU,64.5667,143.2,51.13,54,4,4.99,clear sky,2021-06-21 16:53:13
453,Bengkulu,ID,-3.8004,102.2655,76.37,88,69,5.44,broken clouds,2021-06-21 16:49:16
454,Omsukchan,RU,62.5333,155.8,46.15,71,100,3.65,overcast clouds,2021-06-21 16:53:14
455,Bandar,ID,2.05,99.75,72.64,91,85,3.04,overcast clouds,2021-06-21 16:53:14
456,Peleduy,RU,59.6289,112.7406,59.56,87,94,1.72,light rain,2021-06-21 16:53:14
457,Flin Flon,CA,54.7682,-101.865,55.24,47,75,5.75,broken clouds,2021-06-21 16:53:15
458,Port Hardy,CA,50.6996,-127.4199,53.78,100,90,3.44,mist,2021-06-21 16:53:15
459,Atbasar,KZ,51.8,68.3333,54.57,77,56,14.47,broken clouds,2021-06-21 16:53:16
460,Bonavista,CA,48.6499,-53.1147,68.0,85,64,7.02,broken clouds,2021-06-21 16:53:16
461,Constitucion,CL,-35.3333,-72.4167,57.63,61,100,12.71,overcast clouds,2021-06-21 16:53:16
462,Drayton Valley,CA,53.2168,-114.9854,64.9,60,98,3.33,light rain,2021-06-21 16:51:23
463,Suicheng,CN,33.8963,117.9331,77.63,55,3,8.23,light rain,2021-06-21 16:53:17
464,Khandbari,NP,27.3747,87.2039,73.04,93,82,0.6,broken clouds,2021-06-21 16:53:17
465,Mundra,IN,22.85,69.7333,85.23,68,82,17.38,broken clouds,2021-06-21 16:53:18
466,Brae,GB,60.3964,-1.353,53.51,71,14,15.05,few clouds,2021-06-21 16:53:18
467,Altamira,BR,-3.2033,-52.2064,89.69,58,75,2.3,broken clouds,2021-06-21 16:53:18
468,Vila Velha,BR,-20.3297,-40.2925,77.97,65,20,13.8,few clouds,2021-06-21 16:49:59
469,Rauma,FI,61.1272,21.5113,78.84,79,100,9.71,overcast clouds,2021-06-21 16:53:19
