City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Lasa,IT,81.48,clear sky,46.6166,10.7002,Pension Feldgärtenhof
304,Jos,NG,77.07,light rain,9.9167,8.9,Silk Suites
307,Robertsport,LR,78.39,light rain,6.7533,-11.3686,Kwepunha Retreat
308,Walvis Bay,,77.95,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
314,Eyl,SO,77.74,scattered clouds,7.9803,49.8164,Amiin Hotel
315,Lingao,CN,84.69,light rain,19.9103,109.6859,Lingao Ditai Inn
317,Sobolevo,RU,76.33,scattered clouds,54.4299,31.8996,
320,Mana,GF,85.39,overcast clouds,5.6592,-53.7767,LE SAMANA
321,Sylvania,US,80.74,overcast clouds,41.7189,-83.713,Wingate by Wyndham Sylvania/Toledo
328,Mahon,ES,75.76,few clouds,39.8885,4.2658,ARTIEM Capri
329,Brigantine,US,88.27,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
330,Sarangani,PH,83.25,broken clouds,5.4033,125.4636,Ballistic Islet
332,The Valley,AI,85.82,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
334,Jieshi,CN,83.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
339,Isabela,PH,78.8,light rain,6.7085,121.9711,Isawad Resort
340,Gizo,SB,81.32,broken clouds,-8.103,156.8419,Imagination Island
342,Mankono,CI,84.74,overcast clouds,8.0586,-6.1897,Hotel Cajoux
343,Ndjole,GA,80.38,overcast clouds,-0.1783,10.7649,Hotel Kevazingo
344,Suclayin,PH,80.56,overcast clouds,15.7568,121.5503,Costa Pacifica
345,Robertsganj,IN,85.62,overcast clouds,24.7,83.0667,Prem Hotel Lodge & Restaurant
350,Tukrah,LY,79.74,clear sky,32.5341,20.5791,Lokta restaurant
364,Jakarta,ID,78.53,haze,-6.2146,106.8451,HARRIS Hotel Tebet
365,Namatanai,PG,78.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
376,Zhongxing,CN,76.51,light rain,33.7039,118.6792,New Century Grand Hotel Siyang
380,Amapa,BR,83.14,broken clouds,1.0,-52.0,
381,Vaitape,PF,79.14,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
386,Ambon,ID,78.66,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
388,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Río Nabagana
389,Matara,LK,79.72,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
390,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
395,Kudahuvadhoo,MV,82.99,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
396,Estelle,US,87.78,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
402,Ivanivka,UA,76.93,scattered clouds,46.7208,34.553,Спорт Лото
410,Gambela,ET,77.02,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
415,Dongli,CN,76.98,light rain,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
416,Juba,SS,78.78,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
418,Prestea,GH,77.4,overcast clouds,5.4327,-2.1428,Channel 5
422,Mangrol,IN,83.84,broken clouds,21.1167,70.1167,Hotel The Royal Honours
426,Marzuq,YE,78.64,scattered clouds,14.4,46.4667,
430,Puerto Baquerizo Moreno,EC,76.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
432,Tabas,IR,88.66,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
434,Calafell,ES,86.23,few clouds,41.2,1.5683,Hotel Kursaal Calafell Playa
435,Columbus,US,88.32,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
437,Banda Aceh,ID,79.61,scattered clouds,5.5577,95.3222,Sulthan Hotel International
439,Sedriano,IT,88.2,scattered clouds,45.4915,8.9687,Peralba Autohotel
442,Lagunas,PE,79.75,broken clouds,-5.2269,-75.6753,Hospedaje Eco
443,Tual,ID,80.71,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
444,Bandundu,CD,83.21,broken clouds,-3.3167,17.3667,Coja Color
447,Kavieng,PG,81.48,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
448,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
450,Conceicao Da Barra,BR,79.12,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
451,Yarmouth,US,85.23,mist,41.7057,-70.2286,Blue Rock Resort
453,Bengkulu,ID,76.37,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
463,Suicheng,CN,77.63,light rain,33.8963,117.9331,Junyue Hotel
465,Mundra,IN,85.23,broken clouds,22.85,69.7333,Hotel Bansidhar Palace
467,Altamira,BR,89.69,broken clouds,-3.2033,-52.2064,Requinte Hotel
468,Vila Velha,BR,77.97,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
469,Rauma,FI,78.84,overcast clouds,61.1272,21.5113,Kalliohovi Hotel
470,Keti Bandar,PK,84.54,broken clouds,24.1447,67.4497,Haji laloo memon house
473,Tambura,SS,75.2,broken clouds,5.6,27.4667,Rikito Lodge
475,Avera,US,85.66,few clouds,33.194,-82.5271,
479,Hargeysa,SO,75.51,light rain,9.56,44.065,City Center Hotel
480,Kieta,PG,77.74,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
481,Harper,LR,80.4,light rain,4.375,-7.7169,Screensaver
483,Vanimo,PG,77.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
485,Neman,RU,80.38,clear sky,55.0311,22.0264,Otel' Neman Dom Druzhby
488,Zurrieq,MT,87.31,clear sky,35.8311,14.4742,M'Anglu
492,Le Vauclin,MQ,86.05,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
493,Caravelas,BR,78.55,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
496,Pochutla,MX,89.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
500,Caramay,PH,78.76,overcast clouds,10.1815,119.236,Peace and Love Beach Club
502,Galle,LK,80.74,broken clouds,6.0367,80.217,Amangalla
505,Umm Lajj,SA,85.69,scattered clouds,25.0213,37.2685,Moon light Furnished Units
506,Orbetello,IT,87.62,few clouds,42.4408,11.2196,Argentario Golf Resort & Spa
508,Brus,RS,81.52,moderate rain,43.3836,21.0336,Vila Djordjevic
510,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
511,Kralendijk,BQ,80.85,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
515,Acajutiba,BR,81.48,broken clouds,-11.6622,-38.0172,Recanto Da Lucinha
518,Barcelona,ES,86.18,few clouds,41.3888,2.159,Axel Hotel Barcelona
523,Rio Claro,BR,80.78,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
526,Wanning,CN,82.47,overcast clouds,18.8003,110.3967,Paradise Hotel
527,Jaguaquara,BR,83.52,few clouds,-13.5306,-39.9708,Hotel Irmãos Vaz
528,Marrakesh,MA,87.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
530,Bud,US,77.31,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
531,Nador,MA,78.87,clear sky,35.174,-2.9287,Hôtel La Giralda
534,Cabra,ES,80.04,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
538,Sabang,ID,83.01,broken clouds,5.8933,95.3214,Hotel Citra
541,Surin,TH,79.9,overcast clouds,14.8818,103.4936,One Fu Hotel
543,Wewak,PG,78.57,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
549,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
552,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
554,Beatrice,US,75.72,scattered clouds,40.2681,-96.747,Victorian Inn Beatrice
555,Kindu,CD,76.19,light rain,-2.95,25.95,Résidence Okanda
559,Abomsa,ET,82.27,clear sky,9.9833,39.9833,
560,Russell,US,84.11,broken clouds,32.3502,-85.1999,Macs
561,Dana Point,US,83.73,broken clouds,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
564,Port Blair,IN,83.01,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
570,Baherden,TM,84.63,clear sky,38.4362,57.4316,
575,Annau,TM,87.3,clear sky,37.8876,58.516,Buzmein Sokak
578,Auki,SB,76.68,scattered clouds,-8.7676,160.7034,Auki Motel
581,Guerrero,MX,79.07,scattered clouds,17.6667,-100.0,Villaxochilt
582,Bahia Honda,CU,89.33,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
583,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
587,Kalmunai,LK,82.71,overcast clouds,7.4167,81.8167,VS Villa
588,Kavaratti,IN,82.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
591,Ahuimanu,US,75.85,light rain,21.4447,-157.8378,Paradise Bay Resort
594,Hirara,JP,79.68,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
